Words,Pronunciation
آ,A_A
آؤ,A_A O_O
آؤلی,A_A U_U L I_I
آؤلیاں,A_A U_U L I J A_A_N
آؤلے,A_A U_U L A_Y
آؤٹ,A_A U_U T
آؤں,A_A U_U_N
آئ,A_A I
آئبس,A_A I B A S
آئتا,A_A I T_D A_A
آئر,A_A I R
آئرس,A_A I R A S
آئرستان,A_A I R I S T_D A_A N
آئرستانی,A_A I R I S T_D A_A N I_I
آئرستانیوں,A_A I R A S T_D A_A N I_I O_O_N
آئرسز,A_A I R I S I Z
آئرش,A_A I R I S_H
آئرشی,A_A I R I S_H I_I
آئرلینڈ,A_A I R L A_E N D
آئرن,A_A I R A N
آئرین,A_A I R I_I N
آئزل,A_A I Z A L
آئس,A_A I S
آئسنگ,A_A I S I N_G
آئسکریم,A_A I S K A R I_I M
آئسہ,A_A I S A_A
آئسیس,A_A I S I_I S
آئش,A_A I S_H
آئفونز,A_A I F U_U N Z
آئل,A_A I L
آئلہ,A_A I L A_A
آئلی,A_A I L I_I
آئمہ,A_A I M A_A
آئن,A_A I N
آئند,A_A I N D_D
آئندگان,A_A I N D_D A G A_A N
آئنونز,A_A I N U_U N Z
آئنہ,A_A I N A_A
آئنی,A_A I N I_I
آئنے,A_A I N A_Y
آئوٹ,A_A I V A T
آئٹم,A_A I T A M
آئڈیالوجی,A_A I D J A_A L O_O D_Z I_I
آئڈیل,A_A I D I J A L
آئڈیلز,A_A I D I J A L Z
آئڈیلزم,A_A I D I J A L I Z M
آئڈیلسٹ,A_A I D I_I L I S T
آئڈیلوں,A_A I D I_I L O_O_N
آئی,A_A I_I
آئیجان,A_A I_I D_Z A_A N
آئیدمیر,A_A I_I D_D M I_I R
آئیدن,A_A I_I D_D A N
آئیدون,A_A I_I D_D O_O N
آئیس,A_A I_I S
آئیملک,A_A I_I M A L K
آئین,A_A I_I N
آئیند,A_A I_I N D_D
آئینوں,A_A I_I N O_O_N
آئینگے,A_A I_I N_G G A_Y
آئینہ,A_A I_I N A_A
آئینہء,A_A I_I N I H
آئینہطبع,A_A A_Y N A H T_D A B A
آئینی,A_A I_I N I_I
آئینیت,A_A I_I N I J A T_D
آئینے,A_A I_I N A_Y
آئیون,A_A I_I V A N
