Words,Pronunciation
گھڑی ,G_H A R_R I_I
کتاب ,K U T_D A_A B
بند ,B A N D_D
کھانا ,K_H A_A N A_A
خوبصورت ,X O_U B S S U R R T_D
خوشی ,X O_O S_H I_I
کھیلنا ,K_H A_Y L L A_A
دوست ,D_D O_U S T D
گلاب ,G I L A_A B
چھتری ,T_S_H A T_D R I_I
پتنگ ,P A T_D A N G G
خرگوش ,X A R G U_U S_H
ہاتھ ,H A_A T_D_
پیار ,P I J A_A R
بلبل ,B A L B A L
جانور ,D_Z A_A N U_U R
پھول ,P_H U_U L
چھوٹا ,T_S_H U_U T A_A
بڑا ,B A R_R A_A
آسمان ,A_A S M A_A N
پانی,P A_A N I_I
اگ ,A_A G
بھائی ,B_H A_A A I_I
بہن ,B A_E_H HN
کھیت ,K_H A_Y T_D
میٹھا ,M I_I T_H A_A
خشک ,X A S_H K
ہنسنا ,H A N S N N A_A
رونا ,R O_O N A_A
بھاگنا ,B_H A_A G N A_A
بجانا ,B A D_Z A_A N A_A
رنگ ,R A N_GG
کھلاڑی ,K_H A L A_A R_R I_I
گرمی ,G A R M I_I
ٹھنڈا ,T_H A N D A_A
کھلونا ,K_H A L O_O N A
گھوڑا,G_H O_O R_R A_A
بخار ,B A X A_A R
کمر ,K U M A R
پیر ,P A_E R
انکھ ,A N K A_H
ناک ,N A_A K
دانت ,D_D A_A N T_D
چہرہ ,T_S A E H H A A
سچ ,S A T_S
جھوٹ ,D_Z_H U_U T
راستہ ,R A_A S T_D A A
دھونا ,D_D_H U_U N A_A
لفظ,L A F Z
جمع ,D_Z A M A_A
بکرا ,B A K R A_A
چاند ,T_S A_A N D_D
سورج ,S U_U R D_D
بھوک ,B_H U_U K
پیاس ,P I J A_A S
بیٹا,B A_Y T A_A
بیٹی ,B A_E T I_I
دل ,D_D A L
امید ,A M I_I D_D
چھپکلی ,T_S_H A P K A L II
رفتار,R A F T_D A_A R
چین ,T_S I_I N
ہرن ,H A R N
نرم,N A R A
سیدھا,S A_I D_D_H A_A
سواری,S A V A_A R I_I
بکری ,B A K R I_I
سایہ,S A_A J A_A
چھلانگ ,T_S_H A L A_A N GG
داخل,D_D A_A X A L
باہر,B A_A H A R
ہوا ,H A V A_A
دھواں ,D_D_H U V A_A_N
گیند,G A_E N D_D
بندوق ,B A N D_D U_U Q
چمچ ,T_S A M T_S
چائے,T_S A_A A A
خراب ,X A R A_A B
ہنسنا,H A N S N N A_A
جہاز ,D_Z A H A_A Z
چپ ,T_S A P
رونا,R O_O N A_A
جاگنا ,D_Z A_A G G A A_A
روشنی ,R O_O S_H A N_I
سونا ,S O_O N A_A
چاندی,T_S A_A N D_D I_I
سیب,S A_E B
آم,A_A M
الو,A L V_O
ٹماٹر,T A M A_A T A R
انار,A N A_A R
بس,B A S
گاڑی,G A_A R_R I_I
ماں,M A_A N
باپ,B A_A P
دادی,D_D A_A D_D I_I
دادا,D_D A_A D_D A_A
نانی,N A_A N I_I
خالہ,X A_A L A_A
مامو,M A_A M U_U
گاجر,G A_A D_Z R R
قران,Q A R A_A N
کتاب پڑھنا,K U T_D A_A B P A R_R_H N A_A
کھانا پکانا,K_H A_A N A_A P A K A_A N A_A
خوشی منانا,X O_O S_H I_I M U N A_A N A_A
گانا گانا,G A_A N A_A G A_A N A_A
کتا بھونکنا,K U T_D A_AA B_H O_N K A N N A
گلاب کھلنا,G I L A_A B K_H A_Y L L A_A
ماں باپ,M A_A N B A_A P
کھیل کھیلنا,K_H A_Y L K_H A_Y L L A_A
گاڑی چلانا,G A_A R_R I_I T_S A L A_A N A_A
کمر بند,K U M A R B A N D_D
خواب دیکھنا,X A V A A B D_D I_I K N A AA
چاند نکلنا,T_S A_A N D_D N I K A N N A_A
سورج غروب,S U_U R D_D G_G A R U_U B
چھتری کھلنا,T_S_H A T_D R I_I K_H A L N A_A
کھلونا دکھانا,K_H A L O_O N A D_D U K_H A_A N_A_A
خوبصورت ہونا,X O_L B S S U_U R D_D A A A A N A_A
گیند پھینکنا,G A_E N D_D P_H A_E N A N N A
خوشبو آنا,X O_O S_H B B B A N A A_A
دوستی کرنا,D_D O_O S T D I_I K A R N A_A
پانی پینا,P A_A N I_I P A_E N A_A
گرمی ہونا,G A R M I_I H O_O N A_A
سردی لگنا,S A R D_D I_I L A G N A_A
گاڑی گزرنا,G A_A R_R I_I G U Z A R N A_A
گیند اٹھانا,G A_E N D_D U T_H A_A N A_A
شیر,S_H I_I R
ہاتھی,H A_A T_D_H I_I
چڑیا,T_S A R_R A_A_AA
جہاز,D_Z A H A_A Z
پہاڑ,P A H A_A R_R
درخت,D_D A R X A T D
ميز,M I_I Z
کرسی,K A R S I_I
لومڑی,L O_O M R_R I_I
کیلا,K A_I L A_A
گائے,G A_A I Y_N
مٹر,M U T A R
کھیرا,K_H A_Y R A_A
پیاز,P I J A_A Z
تربوز,T_D A R A U_U U
انگور,A N G G_U R
کینو,K A_E N O_O
شکریہ,S_H A K R I J A_A
خدا حافظ,X U D_D A_A H A A F I
ہفتہ,H A F T_D A_A
رات,R A_A T_D
شام,S_H A_A M
پاؤں,P A_A U_O_N
ٹانگ,T A_A N GG
السلام علیکم,A L L I L A_A M A L I_I K M
اسلام,A S L A_A M
سلام,S A L A_A M
انا جانا,A N A_A D_Z A_A N A_A
ادھر ادھر,U D_D H_A R U D_D H_A R
